matchId,summonerId,championId,kills,deaths,assists,kda,wins,losses,played,winrate,masteryPoints,masteryLevel
2054995843,65199709,222,805,737,764,2.1289009497964724,43,57,100,0.43,92269,5
2054995843,37071197,14,1550,1696,2922,2.6367924528301887,132,99,231,0.5714285714285714,202292,5
2054995843,37155690,26,34,60,96,2.1666666666666665,2,5,7,0.2857142857142857,7502,3
2054995843,44932584,28,188,123,189,3.065040650406504,15,10,25,0.6,38407,5
2054995843,28958917,412,1541,3828,9489,2.881400208986416,324,316,640,0.50625,725411,5
2054995843,36472437,34,262,142,294,3.915492957746479,21,15,36,0.5833333333333334,27067,5
2054995843,47516309,54,56,44,83,3.159090909090909,3,3,6,0.5,5580,2
2054995843,50114331,121,278,244,292,2.3360655737704916,23,18,41,0.5609756097560976,24717,5
2054995843,46171612,21,839,499,749,3.182364729458918,47,37,84,0.5595238095238095,79803,5
2054995969,54956582,102,46,43,60,2.4651162790697674,3,4,7,0.42857142857142855,16819,4
2054995969,43625582,41,812,929,910,1.853606027987083,65,52,117,0.5555555555555556,115913,5
2054995969,59665064,106,93,148,161,1.7162162162162162,7,11,18,0.3888888888888889,12760,4
2054995969,64931461,105,488,353,311,2.263456090651558,20,20,40,0.5,35751,5
2054995969,39637806,18,12,24,12,1.0,1,1,2,0.5,4117,2
2054995969,59277341,24,201,155,101,1.9483870967741936,12,11,23,0.5217391304347826,14697,4
2054995969,23464040,222,845,1024,1090,1.8896484375,65,66,131,0.4961832061068702,97893,5
2054995969,50474352,63,220,154,257,3.0974025974025974,15,12,27,0.5555555555555556,54837,5
2054995969,62273121,143,46,90,125,1.9,3,4,7,0.42857142857142855,20151,4
2054995969,58232876,54,118,136,275,2.889705882352941,17,12,29,0.5862068965517241,23332,5
2054996119,20147422,54,330,298,738,3.5838926174496644,35,33,68,0.5147058823529411,52559,5
2054996119,22202255,236,962,677,1116,3.069423929098966,78,64,142,0.5492957746478874,102952,5
2054996119,39594573,35,1508,873,1072,2.9553264604811,111,91,202,0.5495049504950495,151542,5
2054996119,34451516,201,45,145,424,3.2344827586206897,10,13,23,0.43478260869565216,22254,5
2054996119,34616396,36,77,85,86,1.9176470588235295,7,8,15,0.4666666666666667,28592,5
